 

stn;time;prestas0;qprestas0
LUZ;202301052340;971.3;4
LUZ;202301052350;971.3;4
LUZ;202301060000;971.2;4
LUZ;202301060010;971.2;4
LUZ;202301060020;971.1;4
LUZ;202301060030;971.0;4
LUZ;202301060040;970.9;4
LUZ;202301060050;970.9;4
LUZ;202301060100;970.9;4
LUZ;202301060110;970.8;4
LUZ;202301060120;970.8;4
LUZ;202301060130;970.8;4
LUZ;202301060140;970.8;4
LUZ;202301060150;970.9;4
LUZ;202301060200;970.9;4
LUZ;202301060210;970.9;4
LUZ;202301060220;970.9;4
LUZ;202301060230;970.9;4
LUZ;202301060240;970.8;4
LUZ;202301060250;970.8;4
LUZ;202301060300;970.8;4
LUZ;202301060310;970.8;4
LUZ;202301060320;970.8;4
LUZ;202301060330;970.6;4
LUZ;202301060340;970.6;4
LUZ;202301060350;970.6;4
LUZ;202301060400;970.7;4
LUZ;202301060410;970.7;4
LUZ;202301060420;970.7;4
LUZ;202301060430;970.7;4
LUZ;202301060440;970.8;4
LUZ;202301060450;970.8;4
LUZ;202301060500;970.8;4
LUZ;202301060510;970.8;4
LUZ;202301060520;970.8;4
LUZ;202301060530;971.0;4
LUZ;202301060540;971.0;4
LUZ;202301060550;971.1;4
LUZ;202301060600;971.2;4
LUZ;202301060610;971.3;4
LUZ;202301060620;971.5;4
LUZ;202301060630;971.6;4
LUZ;202301060640;971.6;4
LUZ;202301060650;971.6;4
LUZ;202301060700;971.7;4
LUZ;202301060710;971.6;4
LUZ;202301060720;971.7;4
LUZ;202301060730;971.6;4
LUZ;202301060740;971.5;4
LUZ;202301060750;971.5;4
LUZ;202301060800;971.5;4
LUZ;202301060810;971.5;4
LUZ;202301060820;971.5;4
LUZ;202301060830;971.5;4
LUZ;202301060840;971.6;4
LUZ;202301060850;971.7;4
LUZ;202301060900;971.7;4
LUZ;202301060910;971.8;4
LUZ;202301060920;971.9;4
LUZ;202301060930;972.0;4
LUZ;202301060940;972.1;4
LUZ;202301060950;972.2;4
LUZ;202301061000;972.1;4
LUZ;202301061010;972.2;4
LUZ;202301061020;972.1;4
LUZ;202301061030;972.0;4
LUZ;202301061040;971.9;4
LUZ;202301061050;971.9;4
LUZ;202301061100;971.9;4
LUZ;202301061110;971.8;4
LUZ;202301061120;971.8;4
LUZ;202301061130;971.8;4
LUZ;202301061140;971.7;4
LUZ;202301061150;971.6;4
LUZ;202301061200;971.6;4
LUZ;202301061210;971.5;4
LUZ;202301061220;971.4;4
LUZ;202301061230;971.4;4
LUZ;202301061240;971.4;4
LUZ;202301061250;971.2;4
LUZ;202301061300;971.2;4
LUZ;202301061310;971.1;4
LUZ;202301061320;971.0;4
LUZ;202301061330;970.9;4
LUZ;202301061340;970.8;4
LUZ;202301061350;970.6;4
LUZ;202301061400;970.6;4
LUZ;202301061410;970.5;4
LUZ;202301061420;970.4;4
LUZ;202301061430;970.4;4
LUZ;202301061440;970.3;4
LUZ;202301061450;970.2;4
LUZ;202301061500;970.2;4
LUZ;202301061510;970.2;4
LUZ;202301061520;970.2;4
LUZ;202301061530;970.2;4
LUZ;202301061540;970.2;4
LUZ;202301061550;970.2;4
LUZ;202301061600;970.2;4
LUZ;202301061610;970.1;4
LUZ;202301061620;970.1;4
LUZ;202301061630;970.1;4
LUZ;202301061640;970.2;4
LUZ;202301061650;970.3;4
LUZ;202301061700;970.3;4
LUZ;202301061710;970.4;4
LUZ;202301061720;970.5;4
LUZ;202301061730;970.6;4
LUZ;202301061740;970.6;4
LUZ;202301061750;970.7;4
LUZ;202301061800;970.7;4
LUZ;202301061810;970.7;4
LUZ;202301061820;970.8;4
LUZ;202301061830;970.8;4
LUZ;202301061840;970.9;4
LUZ;202301061850;971.0;4
LUZ;202301061900;971.0;4
LUZ;202301061910;971.0;4
LUZ;202301061920;971.0;4
LUZ;202301061930;971.0;4
LUZ;202301061940;970.8;4
LUZ;202301061950;970.8;4
LUZ;202301062000;970.6;4
LUZ;202301062010;970.5;4
LUZ;202301062020;970.4;4
LUZ;202301062030;970.4;4
LUZ;202301062040;970.4;4
LUZ;202301062050;970.4;4
LUZ;202301062100;970.3;4
LUZ;202301062110;970.2;4
LUZ;202301062120;970.1;4
LUZ;202301062130;970.1;4
LUZ;202301062140;970.0;4
LUZ;202301062150;970.0;4
LUZ;202301062200;969.9;4
LUZ;202301062210;969.9;4
LUZ;202301062220;969.9;4
LUZ;202301062230;969.9;4
LUZ;202301062240;969.9;4
LUZ;202301062250;969.8;4
LUZ;202301062300;969.7;4
LUZ;202301062310;969.7;4
LUZ;202301062320;969.6;4
LUZ;202301062330;969.5;4
LUZ;202301062340;969.5;4
LUZ;202301062350;969.3;4
LUZ;202301070000;969.3;4
LUZ;202301070010;969.1;4
LUZ;202301070020;969.0;4
LUZ;202301070030;969.0;4
LUZ;202301070040;968.9;4
