 

stn;time;fu3010z0;qfu3010z0
LUZ;202301052200;7.9;0
LUZ;202301052210;6.5;0
LUZ;202301052220;4.3;0
LUZ;202301052230;2.5;0
LUZ;202301052240;2.5;0
LUZ;202301052250;2.5;0
LUZ;202301052300;2.5;0
LUZ;202301052310;3.6;0
LUZ;202301052320;2.5;0
LUZ;202301052330;2.5;0
LUZ;202301052340;4.0;0
LUZ;202301052350;4.3;0
LUZ;202301060000;1.4;0
LUZ;202301060010;1.1;0
LUZ;202301060020;0.4;0
LUZ;202301060030;2.5;0
LUZ;202301060040;4.3;0
LUZ;202301060050;3.2;0
LUZ;202301060100;3.6;0
LUZ;202301060110;1.4;0
LUZ;202301060120;0.7;0
LUZ;202301060130;1.4;0
LUZ;202301060140;0.4;0
LUZ;202301060150;2.5;0
LUZ;202301060200;2.2;0
LUZ;202301060210;0.4;0
LUZ;202301060220;2.9;0
LUZ;202301060230;1.1;0
LUZ;202301060240;1.1;0
LUZ;202301060250;2.9;0
LUZ;202301060300;1.4;0
LUZ;202301060310;0.4;0
LUZ;202301060320;1.4;0
LUZ;202301060330;1.8;0
LUZ;202301060340;0.7;0
LUZ;202301060350;2.2;0
LUZ;202301060400;1.1;0
LUZ;202301060410;0.7;0
LUZ;202301060420;1.1;0
LUZ;202301060430;2.9;0
LUZ;202301060440;4.3;0
LUZ;202301060450;4.7;0
LUZ;202301060500;3.2;0
LUZ;202301060510;1.4;0
LUZ;202301060520;0.4;0
LUZ;202301060530;0.4;0
LUZ;202301060540;1.8;0
LUZ;202301060550;1.1;0
LUZ;202301060600;0.7;0
LUZ;202301060610;0.4;0
LUZ;202301060620;0.4;0
LUZ;202301060630;2.2;0
LUZ;202301060640;1.8;0
LUZ;202301060650;2.5;0
LUZ;202301060700;2.9;0
LUZ;202301060710;1.4;0
LUZ;202301060720;1.1;0
LUZ;202301060730;2.9;0
LUZ;202301060740;3.2;0
LUZ;202301060750;3.2;0
LUZ;202301060800;2.9;0
LUZ;202301060810;2.9;0
LUZ;202301060820;2.5;0
LUZ;202301060830;1.4;0
LUZ;202301060840;0.7;0
LUZ;202301060850;1.8;0
LUZ;202301060900;3.6;0
LUZ;202301060910;1.8;0
LUZ;202301060920;0.4;0
LUZ;202301060930;1.1;0
LUZ;202301060940;1.1;0
LUZ;202301060950;1.1;0
LUZ;202301061000;1.1;0
LUZ;202301061010;1.8;0
LUZ;202301061020;4.7;0
LUZ;202301061030;9.4;0
LUZ;202301061040;7.2;0
LUZ;202301061050;7.2;0
LUZ;202301061100;7.9;0
LUZ;202301061110;6.1;0
LUZ;202301061120;4.3;0
LUZ;202301061130;2.9;0
LUZ;202301061140;2.5;0
LUZ;202301061150;1.4;0
LUZ;202301061200;3.2;0
LUZ;202301061210;2.9;0
LUZ;202301061220;2.2;0
LUZ;202301061230;4.3;0
LUZ;202301061240;5.8;0
LUZ;202301061250;3.2;0
LUZ;202301061300;6.1;0
LUZ;202301061310;1.8;0
LUZ;202301061320;2.9;0
LUZ;202301061330;1.8;0
LUZ;202301061340;2.2;0
LUZ;202301061350;2.2;0
LUZ;202301061400;2.2;0
LUZ;202301061410;1.1;0
LUZ;202301061420;1.4;0
LUZ;202301061430;1.8;0
LUZ;202301061440;1.1;0
LUZ;202301061450;2.5;0
LUZ;202301061500;0.7;0
LUZ;202301061510;2.2;0
LUZ;202301061520;1.8;0
LUZ;202301061530;0.7;0
LUZ;202301061540;1.4;0
LUZ;202301061550;1.8;0
LUZ;202301061600;2.5;0
LUZ;202301061610;1.4;0
LUZ;202301061620;1.4;0
LUZ;202301061630;3.2;0
LUZ;202301061640;2.9;0
LUZ;202301061650;0.4;0
LUZ;202301061700;1.1;0
LUZ;202301061710;1.8;0
LUZ;202301061720;1.1;0
LUZ;202301061730;0.7;0
LUZ;202301061740;1.1;0
LUZ;202301061750;5.4;0
LUZ;202301061800;5.4;0
LUZ;202301061810;4.7;0
LUZ;202301061820;3.2;0
LUZ;202301061830;2.9;0
LUZ;202301061840;4.0;0
LUZ;202301061850;2.5;0
LUZ;202301061900;2.9;0
LUZ;202301061910;2.9;0
LUZ;202301061920;2.2;0
LUZ;202301061930;4.0;0
LUZ;202301061940;2.5;0
LUZ;202301061950;5.0;0
LUZ;202301062000;7.9;0
LUZ;202301062010;9.7;0
LUZ;202301062020;12.2;0
LUZ;202301062030;13.0;0
LUZ;202301062040;7.9;0
LUZ;202301062050;6.5;0
LUZ;202301062100;3.2;0
LUZ;202301062110;5.4;0
LUZ;202301062120;7.6;0
LUZ;202301062130;5.0;0
LUZ;202301062140;4.0;0
LUZ;202301062150;3.2;0
LUZ;202301062200;4.0;0
LUZ;202301062210;4.7;0
LUZ;202301062220;4.7;0
LUZ;202301062230;3.2;0
LUZ;202301062240;3.2;0
LUZ;202301062250;2.9;0
LUZ;202301062300;3.2;0
LUZ;202301062310;3.6;0
LUZ;202301062320;1.4;0
LUZ;202301062330;0.4;0
LUZ;202301062340;1.4;0
LUZ;202301062350;3.6;0
LUZ;202301070000;1.8;0
LUZ;202301070010;0.7;0
LUZ;202301070020;1.1;0
LUZ;202301070030;1.4;0
